t,setpoint,xn,yn,posisi
3.989996,1.000000,0.014734,-0.000493,0.852170
3.999996,1.000000,0.014783,-0.000341,0.851829
4.009996,1.000000,0.014817,-0.000190,0.851639
4.019996,1.000000,0.014836,-0.000041,0.851598
4.029996,1.000000,0.014840,0.000108,0.851706
4.039997,1.000000,0.014829,0.000254,0.851960
4.049997,1.000000,0.014804,0.000399,0.852359
4.059997,1.000000,0.014764,0.000543,0.852902
4.069997,1.000000,0.014710,0.000684,0.853586
4.079998,1.000000,0.014641,0.000823,0.854409
4.089998,1.000000,0.014559,0.000960,0.855370
4.099998,1.000000,0.014463,0.001095,0.856465
4.109998,1.000000,0.014353,0.001228,0.857693
4.119998,1.000000,0.014231,0.001358,0.859051
4.129999,1.000000,0.014095,0.001486,0.860537
4.139999,1.000000,0.013946,0.001611,0.862148
4.149999,1.000000,0.013785,0.001733,0.863880
4.159999,1.000000,0.013612,0.001852,0.865732
4.170000,1.000000,0.013427,0.001968,0.867701
4.180000,1.000000,0.013230,0.002081,0.869782
4.190000,1.000000,0.013022,0.002191,0.871973
4.200000,1.000000,0.012803,0.002298,0.874271
4.210001,1.000000,0.012573,0.002402,0.876673
4.220001,1.000000,0.012333,0.002502,0.879175
4.230001,1.000000,0.012083,0.002598,0.881773
4.240001,1.000000,0.011823,0.002692,0.884465
4.250001,1.000000,0.011554,0.002781,0.887246
4.260002,1.000000,0.011275,0.002867,0.890113
4.270002,1.000000,0.010989,0.002950,0.893063
4.280002,1.000000,0.010694,0.003028,0.896091
4.290002,1.000000,0.010391,0.003103,0.899194
4.300003,1.000000,0.010081,0.003174,0.902368
4.310003,1.000000,0.009763,0.003241,0.905610
4.320003,1.000000,0.009439,0.003305,0.908915
4.330003,1.000000,0.009109,0.003364,0.912279
4.340003,1.000000,0.008772,0.003420,0.915699
4.350004,1.000000,0.008430,0.003472,0.919170
